Date,Close,C_EMA1,C_EMA2,S_RSI_P,C_RSI_V,C_Pos
2024-01-24,145.24,144.302682775667,140.97874165619092,30,64.43907531062945,B_N_Y
2024-01-25,145.68,144.47484742870864,141.2399231852304,30,64.9828048199619,B_N_Y
2024-01-29,147.65,144.8717415001201,141.59603922049342,30,67.29866406453934,B_N_Y
2024-01-30,148.26,145.2952738126051,141.96625990854622,30,67.97705332020092,B_N_Y
2024-01-31,151.42,146.06086458602948,142.49146855525183,30,71.18091765680285,B_N_Y
2024-02-01,151.82,146.7807565127758,143.00972110723228,30,71.55359787112532,B_N_Y
2024-02-02,152.82,147.53566194867884,143.55473740086487,30,72.47417421582131,B_N_Y
2024-02-05,152.29,148.129954205094,144.0400304398999,30,71.2106700888377,B_N_Y
2024-02-06,154.17,148.8849599294573,144.60280726302824,30,72.941679624362,B_N_Y
2024-02-07,154.61,149.60058993827516,145.15876310219397,30,73.32992846569728,B_N_Y
2024-02-08,153.97,150.14676619599078,145.64827683456755,30,71.78016876629397,B_N_Y
2024-02-09,152.35,150.42217042149193,146.02059519864713,30,68.0161363299003,B_N_Y
2024-02-12,146.89,149.98064911880545,146.06889551567716,30,57.50283680712375,B_N_Y
2024-02-13,147.17,149.6293179789548,146.13006804718032,30,57.84848075524605,B_N_Y
2024-02-14,148.9,149.53815323158545,146.28395329858148,30,59.93145507939015,B_N_Y
2024-02-15,150.71,149.68463407763727,146.52984499766347,30,61.96569377692519,B_N_Y
2024-02-16,151.78,149.94655481793262,146.821520517185,30,63.1110052735713,B_N_Y
2024-02-19,152.35,150.24698546569104,147.12865850651818,30,63.71316478238862,B_N_Y
2024-02-20,151.72,150.43111228247966,147.38373322240383,30,62.54581255041914,B_N_Y
2024-02-21,150.61,150.4534732471697,147.56297039068116,30,60.524607350851355,B_N_Y
2024-02-22,151.58,150.59428909127348,147.7861388493923,30,61.64509003099197,B_N_Y
2024-02-23,152.36,150.8150029548643,148.0402424048149,30,62.529819712011445,B_N_Y
2024-02-26,152.16,150.98312758550628,148.26911796131844,30,62.14955475860488,B_N_Y
2024-02-27,152.31,151.148986637318,148.49361153255285,30,62.327305055052754,B_N_Y
2024-02-28,149.79,150.97911330765322,148.56563315184326,30,57.624279005627585,B_N_Y
2024-02-29,149.87,150.84047414419655,148.63809801262786,30,57.72902898893622,B_N_Y
2024-03-01,150.85,150.84166487617196,148.76098151384585,30,59.012963079993106,B_N_Y
2024-03-02,151.84,150.96645676665045,148.9320381719718,30,60.27394348544374,B_N_Y
2024-03-04,151.5,151.03314967081914,149.07470277749232,30,59.622259238639764,B_N_Y
2024-03-05,150.6,150.97900596196675,149.15944154546463,30,57.90778325558739,B_N_Y
2024-03-06,147.68,150.5666302167209,149.07725031790875,30,52.81084157542746,B_N_Y
2024-03-07,148.88,150.35580143963082,149.06629196306247,30,54.51293083302372,B_N_Y
2024-03-11,146.02,149.81382625967697,148.897053464495,30,50.06100701501194,B
2024-03-12,142.84,148.94209797721732,148.5605503887556,30,45.76227707762454,B
2024-03-13,137.92,147.56433573006515,147.96940852547078,30,40.23282220472875,S
2024-03-14,139.69,146.580043763807,147.50944125654914,30,42.80479138708285,S
2024-03-15,139.86,145.7400382933311,147.0844721856223,30,43.0482968113861,S
2024-03-18,139.67,144.9812835066647,146.67255696146,30,42.83743381459978,S
2024-03-19,137.98,144.1061230683316,146.18963701651074,30,40.98996014495703,S
2024-03-20,138.08,143.35285768479014,145.7391015264721,30,41.14533197376991,S
2024-03-21,141.25,143.09000047419136,145.48970694482225,30,45.82314321706154,S
2024-03-22,142.52,143.01875041491743,145.32472319292583,30,47.55084195315123,S
2024-03-26,142.87,143.00015661305275,145.18834965664902,30,48.023394064394125,S
2024-03-27,143.6,143.07513703642115,145.1001079934382,30,49.014535515919164,S
2024-03-28,144.11,143.2044949068685,145.04510198460733,30,49.707642523096105,S
2024-04-01,147.66,143.76143304350992,145.1903741195097,30,54.191778501315326,S
2024-04-02,149.24,144.4462539130712,145.41535336863973,30,55.99812057331748,S
2024-04-03,150.83,145.2442221739373,145.71616711274515,30,57.73319949889717,S
2024-04-04,151.75,146.05744440219513,146.05138009551092,30,58.70780736609081,B_N_Y
2024-04-05,152.62,146.87776385192075,146.41630346937816,30,59.61869656823834,B_N_Y
2024-04-08,153.14,147.66054337043062,146.78984220983932,30,60.16207409971739,B_N_Y
2024-04-09,153.09,148.33922544912676,147.13985101517648,30,60.08165612040641,B_N_Y
2024-04-10,154.25,149.0780722679859,147.5348593339114,30,61.32245252286869,B_N_Y
2024-04-12,153.98,149.69081323448765,147.89292274003535,30,60.86690023998985,B_N_Y
2024-04-15,151.66,149.9369615801767,148.1022048297875,30,57.09659591941682,B_N_Y
2024-04-16,152.43,150.2485913826546,148.34263791623295,30,57.99005230802154,B_N_Y
2024-04-18,152.53,150.53376745982277,148.57526916269495,30,58.10725913632987,B_N_Y
2024-04-19,152.3,150.7545465273449,148.78219867011057,30,57.72407383688811,B_N_Y
2024-04-22,154.56,151.23022821142678,149.10318765698798,30,60.37988986243988,B_N_Y
2024-04-23,155.01,151.7026996849984,149.43134392154136,30,60.88602229998679,B_N_Y
2024-04-24,156.6,152.3148622243736,149.8296026192446,30,62.63091537987044,B_N_Y
2024-04-25,157.83,153.00425444632688,150.27406916851666,30,63.919006447160655,B_N_Y
2024-04-26,158.99,153.752472640536,150.7582875769755,30,65.09288769925249,B_N_Y
2024-04-29,158.96,154.403413560469,151.2139382928561,30,65.03627838653671,B_N_Y
2024-04-30,159.02,154.98048686541037,151.64760841081008,30,65.09907619947205,B_N_Y
2024-05-02,159.13,155.49917600723404,152.06329685335527,30,65.21755799482068,B_N_Y
2024-05-03,158.72,155.90177900632978,152.43311371241597,30,64.37491081309986,B_N_Y
2024-05-06,156.67,155.99780663053855,152.66849629451644,30,60.34221252572588,B_N_Y
2024-05-07,154.09,155.7593308017212,152.74746872594753,30,55.79191823382998,B_N_Y
2024-05-08,154.78,155.63691445150604,152.86038713458365,30,56.69537052627043,B_N_Y
2024-05-09,151.21,155.0835501450678,152.76869895697226,30,51.10536276350852,B
2024-05-10,151.86,154.6806063769343,152.7182156797816,30,51.99682544938239,B
2024-05-13,151.22,154.2480305798175,152.63498147254123,30,51.04880566413871,B
2024-05-14,153.53,154.1582767573403,152.68470472565102,30,54.168821909307326,B_N_Y
